month,"Raise,BART","Raise,Union","Pension,BART","Pension,Union","Medical,BART","Medical,Union"
August,"[2, 2, 2.5, 2.5]","[5, 6.1, 7.2]","[2, 3, 4, 5]","[7, 7, 7]","[6, 8, 9, 10]",[]
October,"[2.5, 2.5, 2.5, 2.5]","[3.75, 3.75, 4]",[],[],[],[]
